setup description,timestamp_receiver,timestamp_server,filename,frame_id,resolution,jpeg_quality,size_kb,compression_time_ms,encryption_time_ms,fps,Mbits,latency_ms
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.034,2025-03-28 12:12:11.100,cityNight_640x480.jpg,1,640x480,20,21.47,12.16793,11.72996,0,0.0,66.191
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.091,2025-03-28 12:12:11.147,cityNight_640x480.jpg,2,640x480,20,21.47,0.0,0.0,0,0.0,56.139
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.121,2025-03-28 12:12:11.154,cityNight_640x480.jpg,3,640x480,20,21.47,1.28531,0.0,0,0.0,33.659
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.155,2025-03-28 12:12:11.172,cityNight_640x480.jpg,4,640x480,20,21.47,0.0,0.0,0,0.0,17.917
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.188,2025-03-28 12:12:11.189,cityNight_640x480.jpg,5,640x480,20,21.47,0.0,0.0,0,0.0,1.952
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.221,2025-03-28 12:12:11.225,cityNight_640x480.jpg,6,640x480,20,21.47,0.38934,0.0,0,0.0,4.483
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.255,2025-03-28 12:12:11.256,cityNight_640x480.jpg,7,640x480,20,21.47,0.0,1.43766,0,0.0,1.972
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.287,2025-03-28 12:12:11.288,cityNight_640x480.jpg,8,640x480,20,21.47,1.16539,0.40174,0,0.0,1.958
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.320,2025-03-28 12:12:11.326,cityNight_640x480.jpg,9,640x480,20,21.47,1.05214,0.0,0,0.0,6.805
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.355,2025-03-28 12:12:11.359,cityNight_640x480.jpg,10,640x480,20,21.47,0.77415,0.0,0,0.0,4.473
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.388,2025-03-28 12:12:11.394,cityNight_640x480.jpg,11,640x480,20,21.47,0.74172,0.0,0,0.0,6.791
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.420,2025-03-28 12:12:11.425,cityNight_640x480.jpg,12,640x480,20,21.47,1.05739,0.0,0,0.0,5.97
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.451,2025-03-28 12:12:11.457,cityNight_640x480.jpg,13,640x480,20,21.47,1.31059,0.0,0,0.0,6.407
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.488,2025-03-28 12:12:11.493,cityNight_640x480.jpg,14,640x480,20,21.47,0.0,0.0,0,0.0,5.603
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.521,2025-03-28 12:12:11.521,cityNight_640x480.jpg,15,640x480,20,21.47,0.0,0.0,0,0.0,0.912
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.554,2025-03-28 12:12:11.556,cityNight_640x480.jpg,16,640x480,20,21.47,1.11198,0.0,0,0.0,2.849
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.587,2025-03-28 12:12:11.591,cityNight_640x480.jpg,17,640x480,20,21.47,1.24407,0.0,0,0.0,4.445
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.624,2025-03-28 12:12:11.630,cityNight_640x480.jpg,18,640x480,20,21.47,0.99993,0.0,0,0.0,6.265
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.655,2025-03-28 12:12:11.660,cityNight_640x480.jpg,19,640x480,20,21.47,0.52142,0.0,0,0.0,5.594
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.688,2025-03-28 12:12:11.691,cityNight_640x480.jpg,20,640x480,20,21.47,1.11723,0.0,0,0.0,3.278
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.722,2025-03-28 12:12:11.725,cityNight_640x480.jpg,21,640x480,20,21.47,0.81205,0.0,0,0.0,3.045
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.756,2025-03-28 12:12:11.756,cityNight_640x480.jpg,22,640x480,20,21.47,0.84996,0.0,0,0.0,0.907
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.789,2025-03-28 12:12:11.794,cityNight_640x480.jpg,23,640x480,20,21.47,1.00088,0.0,0,0.0,5.744
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.821,2025-03-28 12:12:11.826,cityNight_640x480.jpg,24,640x480,20,21.47,1.17779,0.0,0,0.0,5.416
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.851,2025-03-28 12:12:11.857,cityNight_640x480.jpg,25,640x480,20,21.47,1.00207,0.0,0,0.0,6.874
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.882,2025-03-28 12:12:11.888,cityNight_640x480.jpg,26,640x480,20,21.47,1.4286,0.0,0,0.0,6.89
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.913,2025-03-28 12:12:11.918,cityNight_640x480.jpg,27,640x480,20,21.47,1.00231,0.0,0,0.0,5.582
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.944,2025-03-28 12:12:11.949,cityNight_640x480.jpg,28,640x480,20,21.47,1.22786,0.0,0,0.0,5.578
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:11.975,2025-03-28 12:12:11.980,cityNight_640x480.jpg,29,640x480,20,21.47,0.98228,0.0,0,0.0,5.268
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.006,2025-03-28 12:12:12.012,cityNight_640x480.jpg,30,640x480,20,21.47,1.28484,0.0,0,0.0,6.225
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.037,2025-03-28 12:12:12.043,cityNight_640x480.jpg,31,640x480,20,21.47,1.43266,0.0,31,5.3246,6.232
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.069,2025-03-28 12:12:12.074,cityNight_640x480.jpg,32,640x480,20,21.47,1.12581,0.0,31,5.3246,5.571
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.099,2025-03-28 12:12:12.105,cityNight_640x480.jpg,33,640x480,20,21.47,1.00541,0.0,31,5.3246,6.964
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.131,2025-03-28 12:12:12.136,cityNight_640x480.jpg,34,640x480,20,21.47,1.14465,0.0,31,5.3246,5.429
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.162,2025-03-28 12:12:12.168,cityNight_640x480.jpg,35,640x480,20,21.47,1.02377,0.0,31,5.3246,6.545
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.193,2025-03-28 12:12:12.199,cityNight_640x480.jpg,36,640x480,20,21.47,1.52779,0.0,31,5.3246,6.958
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.225,2025-03-28 12:12:12.230,cityNight_640x480.jpg,37,640x480,20,21.47,1.15848,0.0,31,5.3246,5.255
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.256,2025-03-28 12:12:12.261,cityNight_640x480.jpg,38,640x480,20,21.47,1.1766,0.0,31,5.3246,5.237
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.287,2025-03-28 12:12:12.292,cityNight_640x480.jpg,39,640x480,20,21.47,1.20449,0.0,31,5.3246,5.817
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.318,2025-03-28 12:12:12.323,cityNight_640x480.jpg,40,640x480,20,21.47,0.99945,0.0,31,5.3246,5.595
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.349,2025-03-28 12:12:12.354,cityNight_640x480.jpg,41,640x480,20,21.47,1.00374,0.0,31,5.3246,5.612
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.379,2025-03-28 12:12:12.386,cityNight_640x480.jpg,42,640x480,20,21.47,1.45507,0.0,31,5.3246,7.107
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.410,2025-03-28 12:12:12.416,cityNight_640x480.jpg,43,640x480,20,21.47,1.36828,0.0,31,5.3246,6.886
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.440,2025-03-28 12:12:12.445,cityNight_640x480.jpg,44,640x480,20,21.47,1.15323,0.0,31,5.3246,5.974
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.471,2025-03-28 12:12:12.476,cityNight_640x480.jpg,45,640x480,20,21.47,1.00613,0.0,31,5.3246,5.135
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.501,2025-03-28 12:12:12.507,cityNight_640x480.jpg,46,640x480,20,21.47,1.18947,0.0,31,5.3246,6.493
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.532,2025-03-28 12:12:12.540,cityNight_640x480.jpg,47,640x480,20,21.47,0.99897,0.0,31,5.3246,8.025
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.563,2025-03-28 12:12:12.569,cityNight_640x480.jpg,48,640x480,20,21.47,1.00875,0.0,31,5.3246,6.752
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.594,2025-03-28 12:12:12.600,cityNight_640x480.jpg,49,640x480,20,21.47,1.00255,0.0,31,5.3246,6.217
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.625,2025-03-28 12:12:12.630,cityNight_640x480.jpg,50,640x480,20,21.47,0.0,0.0,31,5.3246,5.621
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.656,2025-03-28 12:12:12.662,cityNight_640x480.jpg,51,640x480,20,21.47,1.14942,0.50831,31,5.3246,6.316
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.687,2025-03-28 12:12:12.693,cityNight_640x480.jpg,52,640x480,20,21.47,1.00183,0.0,31,5.3246,6.38
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.718,2025-03-28 12:12:12.723,cityNight_640x480.jpg,53,640x480,20,21.47,1.00207,0.0,31,5.3246,5.813
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.750,2025-03-28 12:12:12.756,cityNight_640x480.jpg,54,640x480,20,21.47,1.38474,0.0,31,5.3246,6.951
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.781,2025-03-28 12:12:12.787,cityNight_640x480.jpg,55,640x480,20,21.47,0.0,1.08814,31,5.3246,6.12
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.811,2025-03-28 12:12:12.817,cityNight_640x480.jpg,56,640x480,20,21.47,0.99707,0.0,31,5.3246,6.965
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.842,2025-03-28 12:12:12.847,cityNight_640x480.jpg,57,640x480,20,21.47,0.0,0.0,31,5.3246,5.537
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.873,2025-03-28 12:12:12.879,cityNight_640x480.jpg,58,640x480,20,21.47,0.99778,0.0,31,5.3246,6.364
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.903,2025-03-28 12:12:12.908,cityNight_640x480.jpg,59,640x480,20,21.47,0.99945,0.0,31,5.3246,5.884
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.934,2025-03-28 12:12:12.939,cityNight_640x480.jpg,60,640x480,20,21.47,1.00231,0.0,31,5.3246,5.05
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.964,2025-03-28 12:12:12.970,cityNight_640x480.jpg,61,640x480,20,21.47,1.00207,0.0,31,5.3246,6.664
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:12.995,2025-03-28 12:12:13.000,cityNight_640x480.jpg,62,640x480,20,21.47,1.19758,0.0,31,5.3246,5.377
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.026,2025-03-28 12:12:13.032,cityNight_640x480.jpg,63,640x480,20,21.47,1.0016,0.0,31,5.3246,6.333
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.057,2025-03-28 12:12:13.062,cityNight_640x480.jpg,64,640x480,20,21.47,1.18256,0.0,33,5.6681,5.707
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.087,2025-03-28 12:12:13.093,cityNight_640x480.jpg,65,640x480,20,21.47,0.99993,0.0,33,5.6681,6.215
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.118,2025-03-28 12:12:13.124,cityNight_640x480.jpg,66,640x480,20,21.47,1.0016,0.0,33,5.6681,6.276
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.149,2025-03-28 12:12:13.155,cityNight_640x480.jpg,67,640x480,20,21.47,1.01018,0.0,33,5.6681,6.282
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.180,2025-03-28 12:12:13.186,cityNight_640x480.jpg,68,640x480,20,21.47,1.16158,0.0,33,5.6681,6.37
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.211,2025-03-28 12:12:13.217,cityNight_640x480.jpg,69,640x480,20,21.47,1.00565,0.0,33,5.6681,6.659
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.241,2025-03-28 12:12:13.246,cityNight_640x480.jpg,70,640x480,20,21.47,1.08719,0.0,33,5.6681,5.9
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.273,2025-03-28 12:12:13.278,cityNight_640x480.jpg,71,640x480,20,21.47,1.33395,0.0,33,5.6681,5.616
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.304,2025-03-28 12:12:13.310,cityNight_640x480.jpg,72,640x480,20,21.47,1.00064,0.0,33,5.6681,6.056
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.334,2025-03-28 12:12:13.341,cityNight_640x480.jpg,73,640x480,20,21.47,0.85402,0.0,33,5.6681,7.783
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.365,2025-03-28 12:12:13.371,cityNight_640x480.jpg,74,640x480,20,21.47,1.25003,0.0,33,5.6681,6.415
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.396,2025-03-28 12:12:13.402,cityNight_640x480.jpg,75,640x480,20,21.47,1.17254,0.0,33,5.6681,6.459
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.427,2025-03-28 12:12:13.432,cityNight_640x480.jpg,76,640x480,20,21.47,1.0004,0.0,33,5.6681,5.879
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.458,2025-03-28 12:12:13.464,cityNight_640x480.jpg,77,640x480,20,21.47,1.06096,0.0,33,5.6681,6.005
Local server and receiver - ws://192.168.0.69:9000,2025-03-28 12:12:13.489,2025-03-28 12:12:13.494,cityNight_640x480.jpg,78,640x480,20,21.47,1.0004,0.0,33,5.6681,5.339
