setup description,timestamp_receiver,timestamp_server,filename,frame_id,resolution,jpeg_quality,size_kb,compression_time_ms,encryption_time_ms,fps,Mbits,latency_ms
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.149,2025-03-28 13:36:12.227,cityNight_640x480.jpg,1,640x480,20,21.47,12.99834,12.39157,0,0.0,75.397
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.204,2025-03-28 13:36:12.297,cityNight_640x480.jpg,2,640x480,20,21.47,0.0,0.0,0,0.0,90.686
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.234,2025-03-28 13:36:12.304,cityNight_640x480.jpg,3,640x480,20,21.47,1.3957,0.0,0,0.0,67.88
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.265,2025-03-28 13:36:12.313,cityNight_640x480.jpg,4,640x480,20,21.47,1.19042,0.0,0,0.0,45.956
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.297,2025-03-28 13:36:12.329,cityNight_640x480.jpg,5,640x480,20,21.47,0.50735,0.0,0,0.0,29.305
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.327,2025-03-28 13:36:12.345,cityNight_640x480.jpg,6,640x480,20,21.47,0.0,1.3454,0,0.0,15.173
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.358,2025-03-28 13:36:12.374,cityNight_640x480.jpg,7,640x480,20,21.47,1.45054,0.0,0,0.0,13.173
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.389,2025-03-28 13:36:12.406,cityNight_640x480.jpg,8,640x480,20,21.47,0.0,0.0,0,0.0,14.755
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.421,2025-03-28 13:36:12.438,cityNight_640x480.jpg,9,640x480,20,21.47,1.00112,0.0,0,0.0,14.146
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.451,2025-03-28 13:36:12.468,cityNight_640x480.jpg,10,640x480,20,21.47,1.00231,0.0,0,0.0,14.229
Local Wifi signaling web - ws://heliwi.duckdns.org:9000,2025-03-28 13:36:12.483,2025-03-28 13:36:12.498,cityNight_640x480.jpg,11,640x480,20,21.47,1.00231,0.0,0,0.0,12.935
