setup description,timestamp_receiver,timestamp_server,filename,frame_id,resolution,jpeg_quality,size_kb,compression_time_ms,encryption_time_ms,fps,Mbits,latency_ms
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.055,2025-03-28 16:24:26.177,cityNight_640x480.jpg,1,640x480,20,21.47,64.92829,45.27116,0,0.0,731.897
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.195,2025-03-28 16:24:26.232,cityNight_640x480.jpg,2,640x480,20,21.47,4.7698,1.02782,0,0.0,646.875
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.230,2025-03-28 16:24:26.270,cityNight_640x480.jpg,3,640x480,20,21.47,4.78244,1.02615,0,0.0,650.429
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.265,2025-03-28 16:24:26.283,cityNight_640x480.jpg,4,640x480,20,21.47,4.66037,1.07503,0,0.0,627.714
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.300,2025-03-28 16:24:26.316,cityNight_640x480.jpg,5,640x480,20,21.47,4.65298,1.02854,0,0.0,625.718
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.334,2025-03-28 16:24:26.330,cityNight_640x480.jpg,6,640x480,20,21.47,4.68564,1.08004,0,0.0,606.089
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.369,2025-03-28 16:24:26.335,cityNight_640x480.jpg,7,640x480,20,21.47,4.60744,1.06573,0,0.0,576.332
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.403,2025-03-28 16:24:26.349,cityNight_640x480.jpg,8,640x480,20,21.47,4.64272,1.02806,0,0.0,556.4
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.438,2025-03-28 16:24:26.382,cityNight_640x480.jpg,9,640x480,20,21.47,4.64535,1.02758,0,0.0,554.584
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.473,2025-03-28 16:24:26.401,cityNight_640x480.jpg,10,640x480,20,21.47,4.60625,1.06931,0,0.0,537.893
RPI4 full 5G - ws://0.tcp.eu.ngrok.io:16137,2025-03-28 16:24:25.507,2025-03-28 16:24:26.463,cityNight_640x480.jpg,11,640x480,20,21.47,4.69875,1.03307,0,0.0,566.063
